Id,weight,modularity_class,Degree,Weighted Degree,X,Y,Size,Color
crimeanbridge,723,11,13,723,-186.135056,19.14135,10.42877,"#ff6f7f"
crimesagainsthumanity,296,36,6,296,-452.673767,126.726669,10.170904,"#ff3821"
humanrightsviolations,125,36,3,125,-416.191895,156.396271,10.067636,"#ff3821"
dariadugina,180,14,3,180,59.480339,-207.251709,10.100851,"#0094c0"
defundcbc,83,37,4,83,429.629913,-182.002594,10.042274,"#475900"
canadaisbroken,81,37,4,81,440.984772,-249.84256,10.041065,"#475900"
diedsuddenly,75,37,4,75,412.981354,-224.770035,10.037442,"#475900"
trudeaudestroyingcanada,116,37,4,116,455.111938,-213.61644,10.062201,"#475900"
defundukraine,19,0,1,19,-13.333206,-285.542419,10.003623,"#ff6922"
demilitarization,13,18,1,13,-170.161896,-181.543793,10,"#a9d800"
demilitarizerussia,333,38,11,333,-495.219635,-206.847946,10.193249,"#2c3633"
denazifyrussia,334,38,11,334,-511.747375,-146.643066,10.193852,"#2c3633"
nazirussianarmy,295,38,11,295,-576.58197,-196.363617,10.1703,"#2c3633"
standupforukraine,298,38,11,298,-483.708862,-171.288864,10.172112,"#2c3633"
standwithukraine,3579,4,47,3579,246.976349,-152.437744,12.153511,"#00f400"
stoprussianaggression,625,38,18,625,-557.645996,-158.115799,10.369588,"#2c3633"
stoprussiangenocideinukraine,338,38,11,338,-557.976624,-230.965866,10.196268,"#2c3633"
democracy,45,5,2,45,355.705139,48.388271,10.019325,"#16a6cc"
democratsarecorrupt,30,5,1,30,516.778137,53.5177,10.010266,"#16a6cc"
denazificiation,14,18,1,14,-193.027832,-137.335648,10.000604,"#a9d800"
depression,374,81,11,374,-290.813477,-501.54306,10.218008,"#ea6900"
centaurus,100,81,5,100,-332.248413,-438.663116,10.05254,"#ea6900"
phonebhoottrailer,31,81,2,31,-244.589005,-435.321198,10.01087,"#ea6900"
russiaisateroriststate,157,81,5,157,-275.535095,-458.176056,10.086962,"#ea6900"
russiaisaterrorisstate,262,81,6,262,-294.599792,-424.906006,10.150372,"#ea6900"
disneyplusph,14,5,1,14,627.430603,202.002701,10.000604,"#16a6cc"
dkmedier,42,39,2,42,-170.116882,400.185883,10.017513,"#3f8671"
dkpol,44,39,2,44,-209.956024,397.500031,10.018721,"#3f8671"
doggy,15,30,1,15,515.772461,-24.492634,10.001207,"#00af21"
domination,184,32,8,184,-405.384186,175.88472,10.103267,"#6fe779"
donbas,415,40,10,415,-564.457397,-19.709206,10.242768,"#00f8ed"
donetsk,1843,40,30,1843,-586.803955,-103.247505,11.105139,"#00f8ed"
luhansk,224,40,8,224,-523.668213,-29.088009,10.127423,"#00f8ed"
donbassgenocide,508,22,15,508,-353.992188,-270.681519,10.298931,"#e6acff"
dpr,421,40,11,421,-590.049438,-42.911068,10.246391,"#00f8ed"
genocide,157,0,5,157,-89.546883,-455.754852,10.086962,"#ff6922"
lpr,296,40,9,296,-502.467438,-102.827232,10.170904,"#00f8ed"
lugansk,92,40,5,92,-567.735229,-69.725853,10.047709,"#00f8ed"
ukrainewarcrimes,351,41,10,351,265.494446,-445.308228,10.204119,"#8d8b00"
ukronazis,561,42,10,561,-254.275314,-491.408539,10.330938,"#c53592"
donbassisrussia,81,43,4,81,-37.275101,431.417877,10.041065,"#0c4316"
banukronazifromeu,828,5,5,828,541.338562,182.55632,10.49218,"#16a6cc"
hypocrites,54,25,3,54,-485.961639,-135.294342,10.02476,"#00ebff"
ukrainianarmy,1021,22,20,1021,-391.474091,-286.320221,10.608732,"#e6acff"
doublestandards,114,1,3,114,-60.175827,168.770233,10.060994,"#ff86ff"
elonmusk,44,5,1,44,395.923828,58.859425,10.018721,"#16a6cc"
news,665,47,17,665,-53.869194,-137.14328,10.393744,"#007e32"
epsteinclientlist,164,44,6,164,-137.492264,-58.745182,10.091189,"#ffab53"
freejulianassangenow,162,44,6,162,-58.950054,-100.530251,10.089981,"#ffab53"
informedconsent,162,44,6,162,-94.950874,-38.831539,10.089981,"#ffab53"
vaccinedeaths,167,44,6,167,-90.438988,-68.91893,10.093,"#ffab53"
vaccineinjuries,167,44,6,167,-32.73344,-79.107903,10.093,"#ffab53"
wefpuppets,255,44,8,255,-18.929388,-37.937492,10.146144,"#ffab53"
ethniccleansing,13,0,1,13,58.694847,-430.873016,10,"#ff6922"
natorussiawar,866,45,26,866,37.262779,-98.989502,10.515128,"#ff76ff"
uk,825,9,15,825,-183.676132,-507.711365,10.490368,"#d6cf7b"
us,1578,47,25,1578,9.739164,-181.795303,10.945106,"#007e32"
wef,363,44,9,363,-120.591026,-90.219826,10.211366,"#ffab53"
european,59,5,3,59,480.318176,34.931927,10.02778,"#16a6cc"
natowarcrimes,276,45,15,276,67.892258,-33.445797,10.158826,"#ff76ff"
ukrainewarnews,400,45,18,400,39.453381,-24.398172,10.233709,"#ff76ff"
ww3,804,45,21,804,18.432682,-52.337532,10.477686,"#ff76ff"
europeanvalues,14,5,1,14,461.24646,416.79364,10.000604,"#16a6cc"
fake,31,0,2,31,-97.93261,-426.293915,10.01087,"#ff6922"
fakenews,176,73,6,176,-503.292725,92.449448,10.098436,"#448b00"
propaganda,893,73,23,893,-510.77774,22.490471,10.531433,"#448b00"
fakewar,19,5,1,19,458.43985,160.160568,10.003623,"#16a6cc"
fascism,132,0,4,132,22.845642,-490.980133,10.071864,"#ff6922"
fascist,37,0,1,37,147.419601,-448.863617,10.014494,"#ff6922"
fjb,388,4,7,388,205.012985,-38.843132,10.226463,"#00f400"
fkzelensky,180,4,4,180,367.027435,-134.930008,10.100851,"#00f400"
terrorist,68,4,3,68,267.062714,-173.964249,10.033215,"#00f400"
terrorists,190,4,10,190,245.353882,-98.195351,10.106891,"#00f400"
fkanonymous,38,4,2,38,419.47052,-146.506927,10.015098,"#00f400"
fknato,51,4,3,51,383.75235,-162.24913,10.022948,"#00f400"
fktheun,26,4,2,26,270.431335,-115.521912,10.007851,"#00f400"
nytimes,673,34,27,673,-410.18866,343.863922,10.398575,"#6c3e00"
france,297,9,8,297,-218.078979,-446.724091,10.171508,"#d6cf7b"
freepalestine,105,4,4,105,334.097015,-103.228157,10.055559,"#00f400"
freerussia,13,4,1,13,229.773605,-21.579945,10,"#00f400"
freeukrainianstudents,38,46,2,38,-15.217138,15.11349,10.015098,"#c6ceae"
freestudentsukraine,34,46,2,34,-43.461887,-3.93475,10.012682,"#c6ceae"
moneylaundering,267,5,5,267,415.133759,224.272018,10.153391,"#16a6cc"
ftxukraine,35,21,2,35,-216.197723,353.124969,10.013286,"#eccf00"
fuckrussia,194,4,9,194,212.585266,-223.345184,10.109306,"#00f400"
fucktrump,134,4,7,134,401.033142,-202.270676,10.073072,"#00f400"
fucktucker,116,4,7,116,168.900497,-153.238373,10.062201,"#00f400"
standwithrussiansagainstputin,168,4,7,168,356.800079,-30.54706,10.093605,"#00f400"
россия,459,78,17,459,-86.459457,-613.999695,10.26934,"#ffa6ff"
україна,192,78,10,192,-100.716858,-540.92865,10.108098,"#ffa6ff"
fuckukraine,44,1,2,44,38.310009,389.004028,10.018721,"#ff86ff"
german,47,0,2,47,88.509399,-417.540771,10.020533,"#ff6922"
goat𓃵,27,5,1,27,568.650513,75.489159,10.008454,"#16a6cc"
goebbels,89,23,5,89,-381.249359,91.125786,10.045897,"#00d5ff"
fordereport,17,23,1,17,-375.677124,48.467182,10.002416,"#00d5ff"
cristianoronaldo,50,30,3,50,512.189514,-87.21096,10.022345,"#00af21"
himars,57,5,2,57,335.552124,223.652374,10.026571,"#16a6cc"
hitler,153,19,5,153,151.690414,-187.939651,10.084546,"#ffa9ad"
holocaust,17,0,1,17,245.725983,-434.288818,10.002416,"#ff6922"
houseofthedragon,269,11,6,269,-157.306015,45.603165,10.154598,"#ff6f7f"
penuriecarburant,49,11,3,49,-162.183548,-9.703618,10.021741,"#ff6f7f"
hungary,16,5,1,16,303.068359,237.803467,10.001812,"#16a6cc"
hunterbidenlaptop,32,5,1,32,388.678223,159.396851,10.011474,"#16a6cc"
hunterbidenslaptop,36,5,1,36,432.214752,101.713844,10.013889,"#16a6cc"
hypocrisy,193,47,7,193,-29.806154,-160.848358,10.108703,"#007e32"
russiaukraine,4070,10,36,4070,-107.267967,138.075836,12.450027,"#de2335"
hypocritewest,61,35,3,61,-342.446838,-347.584625,10.028987,"#9555a4"
racistwest,59,35,3,59,-467.892822,-395.607819,10.02778,"#9555a4"
idonotstandwithukraine,13,5,1,13,297.413147,372.162811,10,"#16a6cc"
ihorkolomoiskyi,47,0,2,47,-4.105564,-515.708374,10.020533,"#ff6922"
indian,102,1,4,102,-70.792404,384.700134,10.053747,"#ff86ff"
indiawithrussia,76,3,4,76,-241.902527,-333.634155,10.038046,"#ff72c0"
inflation,29,5,1,29,435.259247,328.855042,10.009663,"#16a6cc"
iran,242,9,7,242,-159.288879,-399.751678,10.138293,"#d6cf7b"
afganistan,14,2,1,14,-238.195175,-6.896381,10.000604,"#6e2345"
libya,119,2,4,119,-310.577301,-16.040749,10.064013,"#6e2345"
isis,29,0,1,29,-39.973244,-326.412842,10.009663,"#ff6922"
israel,413,2,12,413,-254.233795,-43.873314,10.241561,"#6e2345"
istandwithpalestine,15,1,1,15,-42.142792,316.521149,10.001207,"#ff86ff"
adwa126,40,1,2,40,16.974358,150.298676,10.016305,"#ff86ff"
